Date,Cities,City name,Views
2023-11-15,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,161
2023-11-16,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,133
2023-11-17,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,151
2023-11-18,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,208
2023-11-19,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,169
2023-11-20,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,829
2023-11-21,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,630
2023-11-22,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,295
2023-11-23,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,236
2023-11-24,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,192
2023-11-25,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,206
2023-11-26,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,201
2023-11-27,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,191
2023-11-28,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,140
2023-11-29,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,133
2023-11-30,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,111
2023-12-01,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,75
2023-12-02,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,108
2023-12-03,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,113
2023-12-04,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,121
2023-12-05,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,160
2023-12-06,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,118
2023-12-07,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,0
2023-11-10,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,47
2023-11-11,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,15
2023-11-12,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,24
2023-11-13,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,24
2023-11-14,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,26
2023-11-15,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,31
2023-11-16,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,24
2023-11-17,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,38
2023-11-18,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,41
2023-11-19,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,13
2023-11-20,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,218
2023-11-21,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,194
2023-11-22,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,34
2023-11-23,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,52
2023-11-24,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,28
2023-11-25,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,18
2023-11-26,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,40
2023-11-27,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,27
2023-11-28,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,33
2023-11-29,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,10
2023-11-30,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,25
2023-12-01,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,0
2023-12-02,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,21
2023-12-03,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,11
2023-12-04,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,0
2023-12-05,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,26
2023-12-06,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,36
2023-12-07,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,0
